ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	ai.cyr3con.gargoyl3.gatling.simulations.VulnerabilitiesSimulation	vulnerabilitiessimulation	1646738112385	 	3.3.1
USER	get vulnerabilities essentials (authorized)	105	START	1646738114109	1646738114109
USER	get vulnerabilities essentials (authorized)	106	START	1646738114109	1646738114109
USER	get vulnerabilities essentials (unauthorized)	26	START	1646738114029	1646738114029
USER	get rankings low base score	81	START	1646738114095	1646738114095
USER	get vulnerabilities essentials (authorized)	109	START	1646738114113	1646738114113
USER	get vulnerabilities essentials (authorized)	107	START	1646738114109	1646738114109
USER	get vulnerabilities essentials (authorized)	110	START	1646738114114	1646738114114
USER	get vulnerabilities essentials (authorized)	112	START	1646738114114	1646738114114
USER	get vulnerabilities essentials (authorized)	111	START	1646738114114	1646738114114
USER	get rankings recent	113	START	1646738114114	1646738114114
USER	get rankings recent	114	START	1646738114114	1646738114114
USER	get rankings recent	115	START	1646738114114	1646738114114
USER	get rankings recent	116	START	1646738114115	1646738114115
USER	get rankings recent	118	START	1646738114115	1646738114115
USER	get rankings recent	117	START	1646738114115	1646738114115
USER	get rankings recent	119	START	1646738114115	1646738114115
USER	get rankings recent	120	START	1646738114116	1646738114116
USER	get rankings recent	121	START	1646738114116	1646738114116
USER	get rankings recent	122	START	1646738114116	1646738114116
USER	get random vulnerabilities info (from ES)	123	START	1646738114117	1646738114117
USER	get random vulnerabilities info (from ES)	124	START	1646738114119	1646738114119
USER	get vulnerabilities statistics	98	START	1646738114099	1646738114099
USER	get random vulnerabilities info (from ES)	126	START	1646738114120	1646738114120
USER	get random vulnerabilities info (from ES)	127	START	1646738114120	1646738114120
USER	get vulnerabilities essentials (authorized)	108	START	1646738114113	1646738114113
USER	get random vulnerabilities info (from ES)	130	START	1646738114121	1646738114121
USER	get random vulnerabilities info (from ES)	128	START	1646738114120	1646738114120
USER	get random vulnerabilities info (from ES)	129	START	1646738114120	1646738114120
USER	get random vulnerabilities info (from ES)	132	START	1646738114121	1646738114121
USER	get random vulnerabilities info (from ES)	125	START	1646738114120	1646738114120
USER	get random vulnerabilities info (from ES)	131	START	1646738114121	1646738114121
REQUEST	26		vulnerability essentials	1646738114110	1646738114549	OK	 
USER	get vulnerabilities essentials (unauthorized)	26	END	1646738114029	1646738114596
REQUEST	77		info	1646738114108	1646738114698	OK	 
USER	get vulnerabilities info (unauthorized)	77	END	1646738114053	1646738114704
REQUEST	27		cve metadata	1646738114135	1646738114605	OK	 
USER	get CVE metadata	27	END	1646738114029	1646738114753
REQUEST	12		info details	1646738114088	1646738114620	OK	 
USER	get info details	12	END	1646738114003	1646738114771
REQUEST	28		cve metadata	1646738114134	1646738114773	OK	 
USER	get CVE metadata	28	END	1646738114029	1646738114780
REQUEST	15		info details	1646738114138	1646738114754	OK	 
USER	get info details	15	END	1646738114005	1646738114793
REQUEST	33		cve metadata	1646738114137	1646738114805	OK	 
USER	get CVE metadata	33	END	1646738114030	1646738114815
REQUEST	60		rankings - CVE timeline	1646738114151	1646738114783	OK	 
USER	get rankings CVE timeline	60	END	1646738114034	1646738114823
REQUEST	57		rankings - CVE timeline	1646738114140	1646738114816	OK	 
USER	get rankings CVE timeline	57	END	1646738114034	1646738114834
REQUEST	31		cve metadata	1646738114136	1646738114835	OK	 
USER	get CVE metadata	31	END	1646738114030	1646738114874
REQUEST	36		cve metadata	1646738114194	1646738114884	OK	 
USER	get CVE metadata	36	END	1646738114031	1646738114904
REQUEST	10		vr historical search (ES)	1646738114095	1646738114846	OK	 
USER	get rankings historical search (from ES)	10	END	1646738114003	1646738115074
REQUEST	4		vr historical search (Mongo)	1646738114092	1646738114930	OK	 
USER	get rankings historical search (from Mongo)	4	END	1646738113979	1646738115086
REQUEST	23		info (Mongo)	1646738114105	1646738115157	OK	 
USER	get vulnerabilities info (authorized, from Mongo)	23	END	1646738114028	1646738115171
REQUEST	13		info details	1646738114090	1646738115153	OK	 
USER	get info details	13	END	1646738114004	1646738115178
REQUEST	127		info (ES)	1646738114226	1646738115184	OK	 
USER	get random vulnerabilities info (from ES)	127	END	1646738114120	1646738115200
REQUEST	11		info details	1646738114091	1646738115201	OK	 
USER	get info details	11	END	1646738114003	1646738115211
REQUEST	21		info (Mongo)	1646738114087	1646738115184	OK	 
REQUEST	19		info details	1646738114140	1646738115212	OK	 
USER	get vulnerabilities info (authorized, from Mongo)	21	END	1646738114026	1646738115230
USER	get info details	19	END	1646738114024	1646738115233
REQUEST	2		vr historical search (Mongo)	1646738114091	1646738115111	OK	 
USER	get rankings historical search (from Mongo)	2	END	1646738113977	1646738115276
REQUEST	8		vr historical search (ES)	1646738114095	1646738115150	OK	 
USER	get rankings historical search (from ES)	8	END	1646738114002	1646738115419
REQUEST	32		cve metadata	1646738114136	1646738115423	OK	 
USER	get CVE metadata	32	END	1646738114030	1646738115435
REQUEST	3		vr historical search (Mongo)	1646738114093	1646738115233	OK	 
USER	get rankings historical search (from Mongo)	3	END	1646738113977	1646738115471
REQUEST	107		vulnerability essentials	1646738114118	1646738115472	OK	 
REQUEST	99		vulnerability stats	1646738114112	1646738115487	OK	 
REQUEST	1		vr historical search (Mongo)	1646738114092	1646738115230	OK	 
USER	get vulnerabilities essentials (authorized)	107	END	1646738114109	1646738115486
USER	get rankings historical search (from Mongo)	1	END	1646738113977	1646738115492
REQUEST	6		vr historical search (ES)	1646738114093	1646738115293	OK	 
USER	get rankings historical search (from ES)	6	END	1646738114000	1646738115494
USER	get vulnerabilities statistics	99	END	1646738114106	1646738115494
REQUEST	95		vulnerability stats	1646738114111	1646738115495	OK	 
USER	get vulnerabilities statistics	95	END	1646738114099	1646738115498
REQUEST	103		vulnerability essentials	1646738114109	1646738115503	OK	 
USER	get vulnerabilities essentials (authorized)	103	END	1646738114108	1646738115510
REQUEST	111		vulnerability essentials	1646738114119	1646738115511	OK	 
REQUEST	24		info (Mongo)	1646738114106	1646738115439	OK	 
USER	get vulnerabilities essentials (authorized)	111	END	1646738114114	1646738115513
USER	get vulnerabilities info (authorized, from Mongo)	24	END	1646738114029	1646738115514
REQUEST	16		info details	1646738114138	1646738115514	OK	 
USER	get info details	16	END	1646738114014	1646738115530
REQUEST	63		rankings - CVE timeline	1646738114153	1646738115520	OK	 
USER	get rankings CVE timeline	63	END	1646738114035	1646738115535
REQUEST	96		vulnerability stats	1646738114111	1646738115531	OK	 
USER	get vulnerabilities statistics	96	END	1646738114099	1646738115536
REQUEST	35		cve metadata	1646738114193	1646738115535	OK	 
USER	get CVE metadata	35	END	1646738114030	1646738115542
REQUEST	59		rankings - CVE timeline	1646738114140	1646738115543	OK	 
USER	get rankings CVE timeline	59	END	1646738114034	1646738115554
REQUEST	131		info (ES)	1646738114228	1646738115560	OK	 
USER	get random vulnerabilities info (from ES)	131	END	1646738114121	1646738115561
REQUEST	90		info (ES)	1646738114101	1646738115505	OK	 
USER	get vulnerabilities info (authorized, from ES)	90	END	1646738114098	1646738115578
REQUEST	22		info (Mongo)	1646738114104	1646738115578	OK	 
USER	get vulnerabilities info (authorized, from Mongo)	22	END	1646738114027	1646738115597
REQUEST	62		rankings - CVE timeline	1646738114153	1646738115598	OK	 
USER	get rankings CVE timeline	62	END	1646738114035	1646738115610
REQUEST	14		info details	1646738114138	1646738115610	OK	 
USER	get info details	14	END	1646738114005	1646738115616
REQUEST	94		vulnerability stats	1646738114110	1646738115616	OK	 
USER	get vulnerabilities statistics	94	END	1646738114099	1646738115634
REQUEST	58		rankings - CVE timeline	1646738114155	1646738115634	OK	 
USER	get rankings CVE timeline	58	END	1646738114034	1646738115636
REQUEST	66		rankings - CVE timeline	1646738114154	1646738115637	OK	 
USER	get rankings CVE timeline	66	END	1646738114036	1646738115646
REQUEST	110		vulnerability essentials	1646738114119	1646738115648	OK	 
USER	get vulnerabilities essentials (authorized)	110	END	1646738114114	1646738115677
REQUEST	106		vulnerability essentials	1646738114118	1646738115678	OK	 
USER	get vulnerabilities essentials (authorized)	106	END	1646738114109	1646738115680
